id,nombre,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidad_total,lat,lon,direccion,barrio,ciudad,codigo_postal,tipo_lugar
64,cami del clot / camino del clot,0.0,0.0,0.0,0.0,0.0,4.0,38.3791964,-0.4998765,cami del clot / camino del clot,el clot,alacant / alicante,3011.0,unclassified
65,camino de sabores,0.0,0.0,0.0,0.0,0.0,3.0,38.3474333,-0.4823879,carrer de sant rafael / calle san rafael,santa creu,alacant / alicante,3002.0,restaurant
66,canela,0.0,0.0,0.0,0.0,0.0,4.0,38.3662597,-0.4304644,avinguda de l'historiador vicente ramos / avenida del historiador vicente ramos,albufereta,alacant / alicante,3540.0,cafe
67,carrefour express,0.0,0.0,0.0,0.0,0.0,4.0,38.3857389,-0.4498632,carrer de la llar provincial antonio fernandez valenzuela / calle hogar provincial antonio fernandez valenzuela,orgegia,alacant / alicante,3559.0,convenience
68,carrer agustin jimenez navarlaz / calle agustin jimenez navarlaz,0.0,0.0,0.0,0.0,0.0,4.0,38.3660088,-0.4895822,carrer d'agustin jimenez navarlaz / calle agustin jimenez navarlaz,benissaudet,alacant / alicante,3009.0,parking
69,carrer benifato / calle benifato,0.0,0.0,0.0,0.0,0.0,2.0,38.3734839,-0.482561,carrer benifato / calle benifato,joan xxiii,alacant / alicante,3014.0,footway
70,carrer d'alcala galiano / calle alcala galiano,0.0,0.0,0.0,0.0,0.0,4.0,38.3573095,-0.4842858,carrer d'alcala galiano / calle alcala galiano,campoamor,alacant / alicante,3012.0,footway
71,carrer d'alonso cano / calle alonso cano,0.0,0.0,0.0,0.0,0.0,4.0,38.3723611,-0.4825753,carrer d'alonso cano / calle alonso cano,quatre-centes vivendes,alacant / alicante,3014.0,footway
72,carrer d'indalecio prieto / calle indalecio prieto,0.0,0.0,0.0,0.0,0.0,2.0,38.3538357,-0.4751574,carrer d'indalecio prieto / calle indalecio prieto,santa creu,alacant / alicante,3013.0,yes
73,carrer d'ortega y gasset / calle ortega y gasset,0.0,0.0,0.0,0.0,0.0,4.0,38.3746791,-0.4934706,carrer d'ortega y gasset / calle ortega y gasset,ciutat jardi,alacant / alicante,3011.0,footway
74,carrer de benejusser / calle benejuzar,0.0,0.0,0.0,0.0,0.0,4.0,38.3693093,-0.4824523,avinguda dels exercits espanyols / avenida de los ejercitos espanoles,quatre-centes vivendes,alacant / alicante,3014.0,sports_centre
75,carrer de bolulla / calle bolulla,0.0,0.0,0.0,0.0,0.0,2.0,38.3770982,-0.50069,carrer de bolulla / calle bolulla,villafranquesa,alacant / alicante,3011.0,footway
76,carrer de camoens / calle camoens,0.0,0.0,0.0,0.0,0.0,2.0,38.3536337,-0.475029,carrer de camoens / calle camoens,santa creu,alacant / alicante,3013.0,footway
77,carrer de granada / calle granada,0.0,0.0,0.0,0.0,0.0,4.0,38.3733521,-0.4883593,carrer de granada / calle granada,verge del remei,alacant / alicante,3112.0,house
78,carrer de l'advocat perez mirete / calle abogado perez mirete,0.0,0.0,0.0,0.0,0.0,4.0,38.3747128,-0.4919932,carrer de l'advocat perez mirete / calle abogado perez mirete,verge del remei,alacant / alicante,3112.0,footway
79,carrer de l'economista german bernacer / calle economista german bernacer,0.0,0.0,0.0,0.0,0.0,4.0,38.3750163,-0.4925827,carrer de l'economista german bernacer / calle economista german bernacer,ciutat jardi,alacant / alicante,3112.0,footway
80,carrer de l'escriptor damaso alonso / calle escritor damaso alonso,0.0,0.0,0.0,0.0,0.0,4.0,38.3694077,-0.4866717,carrer de l'escriptor damaso alonso / calle escritor damaso alonso,mare de deu del carme,alacant / alicante,3014.0,footway
81,carrer de la gemma / calle gema,0.0,0.0,0.0,0.0,0.0,3.0,38.3738587,-0.4861802,carrer de la gemma / calle gema,colonia requena,alacant / alicante,3112.0,footway
82,carrer de la maragda / calle esmeralda,0.0,0.0,0.0,0.0,0.0,4.0,38.3750347,-0.4850952,carrer de la maragda / calle esmeralda,colonia requena,alacant / alicante,3112.0,footway
83,carrer de la perla / calle perla,0.0,0.0,0.0,0.0,0.0,4.0,38.3745354,-0.4864612,carrer de la perla / calle perla,colonia requena,alacant / alicante,3112.0,footway
84,carrer de la plata / calle plata,0.0,0.0,0.0,0.0,0.0,4.0,38.3741754,-0.4866775,carrer de la plata / calle plata,colonia requena,alacant / alicante,3112.0,footway
85,carrer de la serra cabeso d'or / calle sierra cabezo d'or,0.0,0.0,0.0,0.0,0.0,4.0,38.3719094,-0.487162,carrer de la serra cabeco d'or / calle sierra cabezo d'or,verge del remei,alacant / alicante,3112.0,footway
86,carrer de la serra d'aitana / calle sierra de aitana,0.0,0.0,0.0,0.0,0.0,4.0,38.3721561,-0.4872184,carrer de la serra d'aitana / calle sierra de aitana,verge del remei,alacant / alicante,3112.0,footway
87,carrer de la serra de cavalls / calle sierra de cavalls,0.0,0.0,0.0,0.0,0.0,4.0,38.3701793,-0.4833589,carrer de la serra cavalls / calle sierra de cavalls,quatre-centes vivendes,alacant / alicante,3014.0,residential
88,carrer de la serra maigmo / calle sierra maigmo,0.0,0.0,0.0,0.0,0.0,4.0,38.37345,-0.4876347,carrer de la serra maigmo / calle sierra maigmo,verge del remei,alacant / alicante,3112.0,house
89,carrer de la turquesa / calle turquesa,0.0,0.0,0.0,0.0,0.0,4.0,38.377256,-0.4843664,carrer de la turquesa / calle turquesa,joan xxiii,alacant / alicante,3112.0,footway
90,carrer de la verge de monserrate / calle virgen de monserrate,0.0,0.0,0.0,0.0,0.0,4.0,38.369247,-0.497593,carrer de la verge de monserrate / calle virgen de monserrate,la tombola,alacant / alicante,3011.0,footway
91,carrer de la verge dels lliris / calle virgen de los lirios,0.0,0.0,0.0,0.0,0.0,4.0,38.3693897,-0.4981901,carrer de la verge dels lliris / calle virgen de los lirios,la tombola,alacant / alicante,3011.0,footway
92,carrer de mariano benlliure / calle mariano benlliure,0.0,0.0,0.0,0.0,0.0,2.0,38.3779592,-0.5018755,carrer de mariano benlliure / calle mariano benlliure,villafranquesa,alacant / alicante,3011.0,footway
93,carrer de moncada / calle moncada,0.0,0.0,0.0,0.0,0.0,4.0,38.3720623,-0.4855992,carrer de moncada / calle moncada,mare de deu del carme,alacant / alicante,3112.0,house
94,carrer de parcent / calle parcent,0.0,0.0,0.0,0.0,0.0,4.0,38.3748775,-0.492562,carrer de parcent / calle parcent,ciutat jardi,alacant / alicante,3112.0,footway
95,carrer de sant pere poveda / calle san pedro poveda,0.0,0.0,0.0,0.0,0.0,4.0,38.3664069,-0.489956,carrer de sant pere poveda / calle san pedro poveda,benissaudet,alacant / alicante,3009.0,footway
96,carrer de santa maria josefa / calle santa maria josefa,0.0,0.0,0.0,0.0,0.0,4.0,38.3751506,-0.4972851,carrer de santa maria josefa / calle santa maria josefa,ciutat jardi,alacant / alicante,3011.0,footway
97,carrer de valdes leal / calle valdes leal,0.0,0.0,0.0,0.0,0.0,4.0,38.3747639,-0.4988702,carrer de valdes leal / calle valdes leal,desconocido,alacant / alicante,3011.0,residential
98,carrer de vicente alexandre / calle vicente alexandre,0.0,0.0,0.0,0.0,0.0,4.0,38.3696489,-0.4923918,carrer de vicente alexandre / calle vicente alexandre,benissaudet,alacant / alicante,3112.0,footway
99,carrer de villa de chiva / calle villa de chiva,0.0,0.0,0.0,0.0,0.0,4.0,38.3719809,-0.4875906,carrer de villa de chiva / calle villa de chiva,verge del remei,alacant / alicante,3112.0,footway
100,carrer de xativa / calle jativa,0.0,0.0,0.0,0.0,0.0,2.0,38.3791764,-0.5018791,carrer de xativa / calle jativa,villafranquesa,alacant / alicante,3011.0,footway
101,carrer del bariton paco latorre / calle baritono paco latorre,0.0,0.0,0.0,0.0,0.0,2.0,38.3760326,-0.4822065,carrer del bariton paco latorre / calle baritono paco latorre,colonia requena,alacant / alicante,3112.0,footway
102,carrer del canonge giner / calle canonigo giner,0.0,0.0,0.0,0.0,0.0,4.0,38.3732927,-0.4872887,carrer del canonge giner / calle canonigo giner,verge del remei,alacant / alicante,3112.0,house
103,carrer del capella planelles / calle cura planelles,0.0,0.0,0.0,0.0,0.0,4.0,38.3727938,-0.4979586,carrer del capella planelles / calle cura planelles,ciutat jardi,alacant / alicante,3011.0,residential
104,carrer del clot / calle clot,0.0,0.0,0.0,0.0,0.0,4.0,38.3758656,-0.4960793,carrer del clot / calle clot,el clot,alacant / alicante,3011.0,footway
105,carrer del comte pedro franqueza / calle conde pedro franqueza,0.0,0.0,0.0,0.0,0.0,3.0,38.3881722,-0.4852195,carrer del comte pedro franqueza / calle conde pedro franqueza,villafranquesa,alacant / alicante,3112.0,residential
106,carrer del cronista figueras pacheco / calle cronista figueras pacheco,0.0,0.0,0.0,0.0,0.0,4.0,38.3726021,-0.4847432,carrer del cronista figueras pacheco / calle cronista figueras pacheco,colonia requena,alacant / alicante,3014.0,footway
107,carrer del diamant / calle diamante,0.0,0.0,0.0,0.0,0.0,4.0,38.3743523,-0.4866873,carrer del diamant / calle diamante,colonia requena,alacant / alicante,3112.0,footway
108,carrer del diputat antonio garcia miralles / calle diputado antonio garcia miralles,0.0,0.0,0.0,0.0,0.0,4.0,38.3688688,-0.4841132,carrer del diputat antonio garcia miralles / calle diputado antonio garcia miralles,mare de deu del carme,alacant / alicante,3014.0,footway
109,carrer del diputat joaquin fuster / calle diputado joaquin fuster,0.0,0.0,0.0,0.0,0.0,4.0,38.3709035,-0.4834529,carrer del diputat joaquin fuster / calle diputado joaquin fuster,mare de deu del carme,alacant / alicante,3014.0,footway
110,carrer del diputat joaquin galant ruiz / calle diputado joaquin galant ruiz,0.0,0.0,0.0,0.0,0.0,4.0,38.3705255,-0.4835479,carrer del diputat joaquin fuster / calle diputado joaquin fuster,mare de deu del carme,alacant / alicante,3014.0,police
111,carrer del diputat juan antonio rodriguez marin / calle diputado juan antonio rodriguez marin,0.0,0.0,0.0,0.0,0.0,4.0,38.3692435,-0.4842154,carrer del diputat juan antonio rodriguez marin / calle diputado juan antonio rodriguez marin,mare de deu del carme,alacant / alicante,3014.0,residential
112,carrer del diputat luis gamir casares / calle diputado luis gamir casares,0.0,0.0,0.0,0.0,0.0,4.0,38.3690347,-0.4846991,carrer del diputat luis gamir casares / calle diputado luis gamir casares,mare de deu del carme,alacant / alicante,3014.0,residential
113,carrer del doctor claramunt / calle doctor claramunt,0.0,0.0,0.0,0.0,0.0,4.0,38.3748665,-0.4894186,carrer del doctor claramunt / calle doctor claramunt,verge del remei,alacant / alicante,3112.0,footway
114,carrer del farmaceutic agatangelo soler / calle farmaceutico agatangelo soler,0.0,0.0,0.0,0.0,0.0,4.0,38.375163,-0.4874047,carrer del farmaceutic agatangelo soler / calle farmaceutico agatangelo soler,colonia requena,alacant / alicante,3112.0,footway
115,carrer del geograf rey pastor / calle geografo rey pastor,0.0,0.0,0.0,0.0,0.0,4.0,38.3723617,-0.4863679,carrer del geograf rey pastor / calle geografo rey pastor,colonia requena,alacant / alicante,3112.0,residential
116,carrer del mestre rosillo / calle maestro rosillo,0.0,0.0,0.0,0.0,0.0,4.0,38.3757954,-0.4804278,carrer del mestre rosillo / calle maestro rosillo,joan xxiii,alacant / alicante,3014.0,footway
117,carrer del music alfosea / calle musico alfosea,0.0,0.0,0.0,0.0,0.0,4.0,38.3733974,-0.4895101,carrer del music alfosea / calle musico alfosea,verge del remei,alacant / alicante,3112.0,house
118,carrer del music torres climent / calle musico torres climent,0.0,0.0,0.0,0.0,0.0,4.0,38.3748713,-0.4920305,carrer del music torres climent / calle musico torres climent,ciutat jardi,alacant / alicante,3112.0,residential
119,carrer del periodista francisco bas mingot / calle periodista francisco bas mingot,0.0,0.0,0.0,0.0,0.0,4.0,38.3747235,-0.4797889,carrer del periodista francisco bas mingot / calle periodista francisco bas mingot,joan xxiii,alacant / alicante,3014.0,footway
120,carrer del pintor perez pizarro / calle pintor perez pizarro,0.0,0.0,0.0,0.0,0.0,4.0,38.374068,-0.4905933,carrer del pintor perez pizarro / calle pintor perez pizarro,verge del remei,alacant / alicante,3112.0,footway
121,carrer del plati / calle platino,0.0,0.0,0.0,0.0,0.0,4.0,38.3740018,-0.4866687,carrer del plati / calle platino,colonia requena,alacant / alicante,3112.0,footway
122,carrer del poeta pedro salinas / calle poeta pedro salinas,0.0,0.0,0.0,0.0,0.0,4.0,38.3681164,-0.4901894,carrer del poeta pedro salinas / calle poeta pedro salinas,benissaudet,alacant / alicante,3112.0,footway
123,carrer del publicista jose tari / calle publicista jose tari,0.0,0.0,0.0,0.0,0.0,4.0,38.3740628,-0.4898657,carrer del publicista jose tari / calle publicista jose tari,verge del remei,alacant / alicante,3112.0,footway
124,carrer del quars / calle cuarzo,0.0,0.0,0.0,0.0,0.0,4.0,38.376836,-0.4871298,carrer del quars / calle cuarzo,verge del remei,alacant / alicante,3112.0,footway
125,carrer del safir / calle zafiro,0.0,0.0,0.0,0.0,0.0,4.0,38.3747129,-0.4864673,carrer del safir / calle zafiro,colonia requena,alacant / alicante,3112.0,footway
126,carrer del senador jose vicente mateo / calle senador jose vicente mateo,0.0,0.0,0.0,0.0,0.0,4.0,38.3705557,-0.4832639,carrer del senador jose vicente mateo / calle senador jose vicente mateo,quatre-centes vivendes,alacant / alicante,3014.0,residential
127,carrer del traverti / calle travertino,0.0,0.0,0.0,0.0,0.0,4.0,38.3748806,-0.4868265,carrer del traverti / calle travertino,colonia requena,alacant / alicante,3112.0,footway
128,carrer periodista francisco bas mingot / calle periodista francisco bas mingot,0.0,0.0,0.0,0.0,0.0,4.0,38.3746799,-0.4829418,carrer periodista francisco bas mingot / calle periodista francisco bas mingot,joan xxiii,alacant / alicante,3112.0,footway
