id,nombre,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidad_total,lon,lat
638,"centro social ""casa del cisco""                        ",accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7689789999999961,38.34776599999996
648,"nuevo colegio ""perpetuo socorro""                      ",accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7650170000000005,38.340176000000014
649,biblioteca ruben dario                                ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7692430000000039,38.345939999999956
652,colindantes teatro wagner (posada y auditorio alfredo ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7707920000000049,38.34343599999998
655,hogar del jubilado                                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.6576180000000078,38.71820099999996
656,taller ocupacional (antigua casa medico)              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.6554739999999974,38.72128200000003
658,colegio alfonso iniesta y aulas anexas edu. infantil  ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.6566560000000032,38.721449999999976
660,orosia silvestre guarderia infantil                   ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.6604669999999949,38.71400500000003
661,biblioteca municipal                                  ,accesibilidad media                             ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad alta                              ,accesibilidad baja                              ,-0.656091,38.716353999999995
706,casa de cultura                                       ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad baja                              ,-0.8034309999999975,38.160731000000034
673,centro de salud                                       ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7686169999999972,38.69941100000001
675,centro social                                         ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad muy baja. barreras arquitectonicas,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7682360000000027,38.699528000000015
677,agencia de lectura                                    ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad baja                              ,accesibilidad media                             ,accesibilidad alta                              ,accesibilidad baja                              ,-0.7611310000000006,38.70115400000003
