WKT                                      , nombre                                                    , e1_entrada_ppal                                 , e2_itinerarios_accesibles                       , e3_zonas_atencion_publico                       , e4_servicios_higienicos                         , e5_elementos_accesibles                         , accesibilidad_total
POINT (694813.668862439 4246272.83990542), colindantes teatro wagner (posada y auditorio alfredo     , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (703645.523698148 4288110.37132517), hogar del jubilado                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (703823.187481901 4288457.09155055), taller ocupacional (antigua casa medico)                  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (703719.939519905 4288473.10582721), colegio alfonso iniesta y aulas anexas edu. infantil      , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (703409.703010694 4287638.33979747), orosia silvestre guarderia infantil                       , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (703783.544768981 4287908.77823017), biblioteca municipal                                      , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (692442.46900486 4225928.57202062) , casa de cultura                                           , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (694045.042733535 4285783.90167082), centro de salud                                           , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (694077.862463775 4285797.69412384), centro social                                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (694691.382848093 4285993.23491323), agencia de lectura                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (694089.167577921 4285676.59217351), museo etnografico                                         , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (765053.621720163 4281767.13967253), ayuntamiento                                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (764504.380286529 4281528.59029821), ceip paternina                                            , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (703134.532051934 4274535.42774958), polideportivo municipal                                   , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (692395.193070462 4225811.08511935), casa consistorial                                         , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (692479.795851947 4225411.58061413), residencia tercera edad                                   , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad media                             , accesibilidad baja
POINT (692556.396816656 4225423.83387561), consultorio medico                                        , accesibilidad baja                              , accesibilidad media                             , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (692493.62852811 4225760.12016716) , "centro sociocultural, biblioteca y regantes           "  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad media                             , accesibilidad baja
POINT (692322.76827442 4225815.14343328) , "dependencias municipales (suma, servicios sociales y p"  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (685240.178705133 4223565.67025403), club convidencia de la 3a edad j. lozano                  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (698320.981803504 4219890.56373256), ayuntamiento                                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (698369.433469404 4219825.00934037), consultorio medico                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (698395.150211019 4219831.85465584), casa de la juventud                                       , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (698434.400237419 4219845.02630999), casa de la juventud                                       , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (761133.255247239 4303431.78892049), casa de cultura                                           , accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (737442.076819635 4290905.91957878), casa de cultura                                           , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (742893.755474742 4272445.12522438), casa consistorial                                         , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (746828.253095674 4268605.87830382), consultorio auxiliar la cala                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (742771.398627206 4272548.17335959), consultorio medico                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (743922.554609741 4270406.27019702), ceip ?balcon de finestrat?                                , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (742749.228365776 4272525.72611172), escuela municipal infantil                                , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (743027.733892213 4272611.39224704), centre juvenil                                            , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (747067.856712752 4268171.09311575), centro multiusos ?la cala?                                , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (745442.031006576 4269488.83253145), centro multiusos ?terra marina?                           , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (746388.788590627 4269283.59959184), edif. multiusos ?barquillero?                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (742651.829930207 4272401.23418551), museo etnologico                                          , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (699306.107831447 4218189.71713007), centro socio cultural los palacios                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (697610.867458412 4217604.07282066), centro sociocultural san roque                            , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (697807.970668478 4217687.80827064), ceip juan carlos                                          , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (767884.33957838 4296150.34454067) , edifici de l'ajuntament                                   , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (767872.696143017 4296113.83514096), edifici del centre social integrat                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (767948.480242714 4295847.90651495), "edifici polivalent ""guillem agullo""                   ", accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (686992.611876892 4214919.39877127), casa consistorial                                         , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (686851.365263307 4214685.9933673) , consultorio medico                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (687139.317074304 4214712.14183197), centro cultural                                           , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad baja
POINT (733535.813181937 4302846.5746489) , centro social de la 3a edad                               , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (733343.910643013 4302715.22108513), consultorio auxiliar y vivienda medico                    , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (733463.317020458 4302865.61188724), c.e.i.p. francisco cloquell                               , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (752469.192246636 4274106.71770188), edificio de la casa consistorial (ayuntamiento)           , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (752654.521376574 4274148.95813005), centro cultural de la tercera edad                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad alta                              , accesibilidad baja
POINT (754645.29124287 4273281.16514369) , centro social albir                                       , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (752823.607739962 4274045.34064328), centro de formacion                                       , accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (761907.654493319 4302043.9884226) , edifici de l?ajuntament                                   , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (755574.570845303 4273565.04223994), museo villa romana y otras dependencias                   , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad alta                              , accesibilidad baja
POINT (723549.029999549 4294719.92274861), escuela                                                   , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (723694.983988673 4294635.67949477), casa de la cultura                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (741444.797261106 4266028.00555778), auditori centro social                                    , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (741450.364147804 4266214.14090479), teatre auditori                                           , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad media                             , accesibilidad baja
POINT (698018.451375359 4211145.70267728), casa consistorial                                         , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (697712.907636441 4211035.69345965), consultorio medico interior                               , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (698082.01997957 4211179.22489175) , centro civico y social                                    , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (697714.380357487 4211384.5014471) , centro socio cultural                                     , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja
POINT (698143.4940327 4211534.0436996)   , escuela infantil                                          , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja
POINT (698034.236545076 4211418.13111439), nueva escuela musica y auditorio                          , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
POINT (695091.34002734 4250712.40671807) , centro de dia para menores                                , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja
