nombre                                                    , e1_entrada_ppal                                 , e2_itinerarios_accesibles                       , e3_zonas_atencion_publico                       , e4_servicios_higienicos                         , e5_elementos_accesibles                         , accesibilidad_total                             , lat               , lon
biblioteca ruben dario                                    , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.345939999999956, -0.7692430000000039
colindantes teatro wagner (posada y auditorio alfredo     , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.34343599999998 , -0.7707920000000049
hogar del jubilado                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.71820099999996 , -0.6576180000000078
taller ocupacional (antigua casa medico)                  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.72128200000003 , -0.6554739999999974
colegio alfonso iniesta y aulas anexas edu. infantil      , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.721449999999976, -0.6566560000000032
orosia silvestre guarderia infantil                       , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.71400500000003 , -0.6604669999999949
biblioteca municipal                                      , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.716353999999995, -0.656091
casa de cultura                                           , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.160731000000034, -0.8034309999999975
centro de salud                                           , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.69941100000001 , -0.7686169999999972
centro social                                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.699528000000015, -0.7682360000000027
agencia de lectura                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.70115400000003 , -0.7611310000000006
museo etnografico                                         , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.69843499999999 , -0.76814
ayuntamiento                                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.644844000000006, 0.0454705000000025
ceip paternina                                            , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.642861299999986, 0.0390772000000021
polideportivo municipal                                   , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.596084499999975, -0.6674609000000045
casa consistorial                                         , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.15968299999997 , -0.8040019999999987
residencia tercera edad                                   , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad media                             , accesibilidad baja                              , 38.156066999999965, -0.8031450000000021
consultorio medico                                        , accesibilidad baja                              , accesibilidad media                             , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.156160999999955, -0.8022679999999989
"centro sociocultural, biblioteca y regantes           "  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad media                             , accesibilidad baja                              , 38.159203000000005, -0.8028929999999941
"dependencias municipales (suma, servicios sociales y p"  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.159734999999976, -0.8048269999999951
club convidencia de la 3a edad j. lozano                  , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.14095799999996 , -0.886200999999998
ayuntamiento                                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.10508100000001 , -0.7380599999999965
consultorio medico                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.10447999999995 , -0.7375260000000045
casa de la juventud                                       , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.10453600000001 , -0.7372310000000021
casa de la juventud                                       , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad baja                              , 38.10464599999999 , -0.7367800000000035
casa de cultura                                           , accesibilidad media                             , accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.84097500000001 , 0.008661000000002977
casa de cultura                                           , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , 38.734934800000026, -0.26830399999999893
