nombre                                                    , e1_entrada_ppal                                 , e2_itinerarios_accesibles                       , e3_zonas_atencion_publico                       , e4_servicios_higienicos                         , e5_elementos_accesibles                         , accesibilidad_total                             , lat               , lon
teatret                                                   , accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , 38.54248900000002 , -0.5067860000000042
oficinas generales                                        , accesibilidad media                             , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad alta                              , accesibilidad baja                              , 38.539342999999995, -0.506932000000005
nuevas dependencias de la casa consistorial (ayuntamie    , accesibilidad media                             , accesibilidad media                             , accesibilidad media                             , accesibilidad alta                              , accesibilidad alta                              , accesibilidad media                             , 38.57957100000005 , -0.10172630000000078
centro de dia                                             , accesibilidad media                             , accesibilidad media                             , accesibilidad media                             , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , 38.575395899999954, -0.09650119999999977
centro cultural escoles velles                            , accesibilidad media                             , accesibilidad media                             , accesibilidad media                             , accesibilidad alta                              , accesibilidad alta                              , accesibilidad media                             , 38.58020799999996 , -0.10056700000000614
espacio polivalente segorb                                , accesibilidad media                             , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad media                             , 38.534348000000016, -0.5065019999999977
casa cultura                                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.77775200000001 , -0.5153450000000018
casa consistorial                                         , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.33880400000001 , -1.0032850000000038
"centro civico social, biblioteca y 3a edad (1 fase)   "  , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.33862900000001 , -1.0023880000000005
"centro civico social, biblioteca y 3a edad (2 fase)   "  , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.33840599999999 , -1.002274000000004
colegio publico virgen del remedio y 6 viviencas maest    , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.33693200000001 , -1.0052670000000057
teatro auditorio                                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.34004799999995 , -1.0033629999999996
local amas de casa                                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.34006299999996 , -1.0036030000000011
centro ocupacional ada                                    , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.10953800000002 , -0.784070999999996
centro tercera edad                                       , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.10816400000002 , -0.7877830000000017
escuelas municipales 1927                                 , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.10970100000005 , -0.7935490000000027
centro cultural                                           , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, 38.10798          , -0.7876670000000019
c. salut casc antic                                       , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.60150140000001 , -0.05478380000000119
centre social 3a edat                                     , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.602525000000014, -0.04814969999999417
fpa                                                       , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.6055224        , -0.04601479999999499
casa de cultura                                           , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.60039949999999 , -0.0491725000000049
escola de musica                                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.59937599999996 , -0.04884599999999608
palau altea                                               , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.599363300000036, -0.058181999999992365
casa toni el fuster                                       , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.59946570000004 , -0.05164660000000316
centre juvenil                                            , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.60528269999996 , -0.044309600000000886
"casa consistorial ""locales municipales en plaza mayor," , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.34624499999998 , -0.768712
centro de salud                                           , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.34806999999999 , -0.7688600000000054
centro social barrio la coca (centro de adultos)          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.342447000000035, -0.7642440000000046
"colegio privado ""virgen de las nieves""                ", accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.34841200000002 , -0.7668700000000029
"colegio publico ""dr. calatayud""                       ", accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.344260000000006, -0.7709409999999953
"colegio publico ""el castillo""                         ", accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.34800799999996 , -0.7729750000000013
"colegio publico ""la paloma""                           ", accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.33812799999996 , -0.7678630000000004
"colegio publico ""la paloma"" (colegio moscardo)        ", accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.34165300000003 , -0.7688100000000041
"colegio publico ""la serranica""                        ", accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.346371000000005, -0.7616849999999977
"colegio publico ""vistahermosa 2 ram-8""                ", accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.341983000000035, -0.7695789999999927
"colegio publico ""vistahermosa i                       " , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.33737999999996 , -0.7673909999999972
centro cultural y casa de la juventud                     , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.34421300000002 , -0.769917999999998
ateneo musical                                            , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.348053999999955, -0.7662110000000056
teatro wagner                                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.34333500000003 , -0.7711860000000027
ayuntamiento                                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.71637900000004 , -0.6568469999999923
"locales de partidos politicos, asistenta social, adl y"  , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.71639100000001 , -0.6570610000000044
colegio la malena (conservatorio municipal de musica)     , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.716015         , -0.6547940000000019
casa de la cultura                                        , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.71552799999997 , -0.6550870000000019
local exposciones (anexo teatro)                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.71583          , -0.6573289999999998
sociedad musical                                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.715418999999976, -0.6571539999999996
teatro principal                                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.71582099999998 , -0.6573279999999966
castillo de banyeres (museo festero)                      , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.71571340000002 , -0.6573839000000039
edf. local de la juventud y emisoria de radio             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.71553899999999 , -0.6581600000000056
edf. museo del papeldel pais valencia (villa rosario)     , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.72214499999999 , -0.6557189999999985
museo arqueologico torre font bona                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.72081600000002 , -0.6573300000000002
museo de la espardenya (villa rosario)                    , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.72247399999999 , -0.6548340000000002
museo de la farmacia (villa rosario)                      , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.72140000000004 , -0.6558190000000027
ayuntamiento                                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.69963999999997 , -0.7658880000000031
centro pensionistas y jubilados                           , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.700365         , -0.7669330000000028
colegio publico divina aurora                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.70017899999996 , -0.760597000000005
auditorio municipal                                       , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.700039999999994, -0.7681739999999949
museo navarro/ sala de exposiciones temporales            , accesibilidad media                             , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.698395000000005, -0.7682110000000024
casa consistorial                                         , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.67656400000002 , -0.11164799999999876
centro polivalente (cultural-social-ensenyanza-sanitar    , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.67510399999996 , -0.11132000000000468
c.p. azorin                                               , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.648529400000044, 0.047883899999997225
cp olta                                                   , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.64448840000003 , 0.039925799999995466
casa cultura                                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.64289869999997 , 0.04381119999999762
edificio multiusos                                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.6553226        , 0.049184999999996676
igualdad                                                  , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.6446586        , 0.042468800000001534
museo torreo de la pea                                    , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.64482160000001 , 0.044650600000002635
museo arqueologico                                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.64458569999996 , 0.044561599999995816
museo de la senyoreta                                     , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.644060899999964, 0.04391189999999273
museo del coco                                            , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.6553226        , 0.049184999999996676
hogar del jubilado                                        , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.160831000000016, -0.8018929999999966
vivienda social                                           , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.16156          , -0.800989999999996
ceip azorin                                               , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.16125100000004 , -0.8028360000000052
centro de formacion                                       , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.15638699999995 , -0.8019659999999983
escuela infantil                                          , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.165271999999945, -0.8043690000000046
ies catral                                                , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.164920000000016, -0.8017780000000039
casa consistorial                                         , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.14160199999998 , -0.887299000000006
ayuntamiento                                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.846967000000014, 0.010533999999998132
hogar del jubilado                                        , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.844989000000034, 0.012355000000003958
edificio multiusos emaus                                  , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.841796000000045, 0.010049999999997896
edificio usos multiples                                   , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.84639399999996 , 0.011310000000002372
casa consistorial                                         , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.73495130000001 , -0.26773159999999807
antiguo consultorio                                       , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.56753099999999 , -0.21151299999999945
ceip puig campana                                         , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.56903700000005 , -0.21248099999999673
biblioteca                                                , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.56727700000002 , -0.21124799999999405
casa cultura                                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.56828499999996 , -0.21033500000000233
extension administrativa la cala                          , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.53196100000003 , -0.16845999999999578
sala actividades la cala                                  , accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.52952400000005 , -0.16665899999999947
3a edad                                                   , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.08449800000003 , -0.7467669999999968
"edifici al c/ del dr. gomez ferrer, 44                "  , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.775024999999985, 0.08416599999999969
edifici del grup escolar santissim crist                  , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.77054999999998 , 0.08371200000000038
casa consistorial                                         , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.67749700000003 , -0.19866200000000028
consultorio auxiliar                                      , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.67564799999995 , -0.19870000000000143
colegio publico                                           , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.677611999999996, -0.19882999999999704
casa de cultura                                           , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.67560299999999 , -0.2003000000000045
servicios sociales                                        , accesibilidad baja                              , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.061160999999956, -0.8648949999999965
ceip virgen de belen                                      , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.06234500000005 , -0.8696399999999939
asociacion de mujeres                                     , accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.06139399999998 , -0.8665830000000041
casa consistorial                                         , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.84530809999997 , -0.3118476000000065
auditorio y escuela de musica                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.84250929999999 , -0.31064419999999543
casa del poble                                            , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.84505350000002 , -0.31172069999999674
casa dels joves                                           , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.8440073        , -0.3109298999999965
centro de salud (cesion de uso a gva-salud)               , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.57853689999997 , -0.10017440000000208
casa de cultura                                           , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.57947799999997 , -0.09872200000000639
antiguo cuartel de carabineros (centro de educacion am    , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.570096599999985, -0.0643389000000025
casa consistorial                                         , accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad muy baja. barreras arquitectonicas, 38.77221530000001 , -0.4247841999999982
museo                                                     , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad muy baja. barreras arquitectonicas, accesibilidad media                             , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.77192120000004 , -0.42516159999999337
casa consistorial                                         , accesibilidad media                             , accesibilidad muy baja. barreras arquitectonicas, accesibilidad baja                              , accesibilidad baja                              , accesibilidad alta                              , accesibilidad muy baja. barreras arquitectonicas, 38.7782766        , -0.10940270000000023
