@id,@type,name,wheelchair,toilets:wheelchair,@lat,@lon
863581587,way,,yes,,38.3724865,-0.4859349
865948220,way,Carrer del Geògraf Rey Pastor / Calle Geógrafo Rey Pastor,yes,,38.3723309,-0.4854441
868866398,way,Carrer de Vicente Alexandre / Calle Vicente Alexandre,yes,,38.3657837,-0.4905634
868866399,way,Carrer Agustín Jiménez Navarlaz / Calle Agustín Jiménez Navarlaz,yes,,38.3660088,-0.4895822
868866400,way,Carrer de Sant Pere Poveda / Calle San Pedro Poveda,yes,,38.3664069,-0.4899560
868866401,way,,yes,,38.3660924,-0.4907488
870572056,way,,no,,38.3658228,-0.4896106
870934897,way,Carrer d'Alcalá Galiano / Calle Alcalá Galiano,yes,,38.3573095,-0.4842858
874769680,way,,yes,,38.3651102,-0.4953081
874769681,way,,yes,,38.3656295,-0.4957854
874769683,way,,yes,,38.3656610,-0.4957603
886022833,way,,yes,,38.3746961,-0.4831364
886022834,way,,yes,,38.3747441,-0.4831350
886022836,way,,yes,,38.3742403,-0.4790393
886022837,way,,yes,,38.3747986,-0.4831352
891325879,way,,yes,,38.3757854,-0.4811179
891325881,way,,yes,,38.3758106,-0.4810914
891325882,way,,yes,,38.3757588,-0.4811457
891325887,way,,yes,,38.3750817,-0.4808920
891325888,way,,yes,,38.3770004,-0.4832819
891325893,way,,designated,,38.3751644,-0.4808583
891346426,way,,yes,,38.3747595,-0.4809345
891707688,way,,yes,,38.3703855,-0.4774992
893789936,way,,yes,,38.3773957,-0.4833129
893795389,way,,yes,,38.3768957,-0.4962881
893795391,way,,yes,,38.3770377,-0.4961798
893804700,way,Carrer del Clot / Calle Clot,yes,,38.3768726,-0.4963962
893804701,way,Carrer del Clot / Calle Clot,yes,,38.3768957,-0.4962684
893811780,way,Carrer del Clot / Calle Clot,yes,,38.3771842,-0.4963780
893811781,way,Carrer del Clot / Calle Clot,yes,,38.3771641,-0.4964935
893811782,way,,yes,,38.3770676,-0.4958677
894034933,way,Carrer del Clot / Calle Clot,yes,,38.3761986,-0.4961728
894034934,way,,yes,,38.3762154,-0.4960623
894040482,way,Carrer del Clot / Calle Clot,yes,,38.3770341,-0.4961800
894040483,way,Carrer del Clot / Calle Clot,yes,,38.3771142,-0.4962057
894393770,way,Carrer de la Turquesa / Calle Turquesa,yes,,38.3772560,-0.4843664
894393771,way,Carrer del Baríton Paco Latorre / Calle Barítono Paco Latorre,no,,38.3773192,-0.4836369
894393772,way,,yes,,38.3773197,-0.4836246
894393775,way,,yes,,38.3772792,-0.4833877
894393777,way,Carrer de la Turquesa / Calle Turquesa,no,,38.3767603,-0.4850687
894393779,way,,yes,,38.3774844,-0.4837425
894393781,way,,yes,,38.3770921,-0.4832406
894393782,way,,yes,,38.3773448,-0.4833062
