id,nombre,accesibilidat_total,e4_servicios_higienicos,lat,lon
1361717009,,Accesibilidad alta,Accesibilidad baja,38.3707852,-0.488532
1361719217,,Accesibilidad alta,Accesibilidad baja,38.371062,-0.4872229
1361719219,,Accesibilidad alta,Accesibilidad baja,38.3710756,-0.4871431
1361722082,,Accesibilidad alta,Accesibilidad baja,38.3713508,-0.4853595
1361722086,,Accesibilidad alta,Accesibilidad baja,38.3713501,-0.4851828
1361722088,,Accesibilidad alta,Accesibilidad baja,38.3713391,-0.4853003
1361745297,,Accesibilidad alta,Accesibilidad baja,38.3716958,-0.4866879
1363081315,,Accesibilidad alta,Accesibilidad baja,38.3709385,-0.4837522
1363081319,,Accesibilidad alta,Accesibilidad baja,38.3708674,-0.4836214
1363081320,,Accesibilidad alta,Accesibilidad baja,38.3708685,-0.4837011
1363081322,,Accesibilidad alta,Accesibilidad baja,38.3705573,-0.4835971
1363081323,,Accesibilidad alta,Accesibilidad baja,38.3705776,-0.4837311
1363279527,,Accesibilidad alta,Accesibilidad baja,38.3700762,-0.4752964
1363279528,,Accesibilidad alta,Accesibilidad baja,38.3700944,-0.475615
1363279529,,Accesibilidad alta,Accesibilidad baja,38.3701269,-0.4758811
1363279530,,Accesibilidad alta,Accesibilidad baja,38.3701629,-0.4761501
1363279531,,Accesibilidad alta,Accesibilidad baja,38.3702127,-0.476457
1363279532,,Accesibilidad alta,Accesibilidad baja,38.3702622,-0.4767625
1363343253,,Accesibilidad alta,Accesibilidad baja,38.3699641,-0.4836118
1363343254,,Accesibilidad alta,Accesibilidad baja,38.3699711,-0.4835302
1364295615,,Accesibilidad alta,Accesibilidad baja,38.3695513,-0.4816559
1364295616,,Accesibilidad alta,Accesibilidad baja,38.3695219,-0.481694
1364295617,,Accesibilidad alta,Accesibilidad baja,38.3694717,-0.481062
1364305504,,Accesibilidad alta,Accesibilidad baja,38.3687482,-0.4824763
1364305508,,Accesibilidad alta,Accesibilidad baja,38.3688009,-0.4813914
1364305509,,Accesibilidad alta,Accesibilidad baja,38.3688324,-0.4815114
1364427859,,Accesibilidad alta,Accesibilidad baja,38.3694472,-0.4834766
1364427861,,Accesibilidad alta,Accesibilidad baja,38.3694001,-0.4832516
1364427869,,Accesibilidad alta,Accesibilidad baja,38.369926,-0.4830086
1364427870,,Accesibilidad alta,Accesibilidad baja,38.3699536,-0.4829927
1364777865,,Accesibilidad alta,Accesibilidad baja,38.3693439,-0.4832017
1364777869,Carrer del Diputat Juan Antonio Rodriguez Marin / Calle Diputado Juan Antonio Rodriguez Marin,Accesibilidad alta,Accesibilidad baja,38.3692789,-0.4836242
1364777870,Carrer del Diputat Juan Antonio Rodriguez Marin / Calle Diputado Juan Antonio Rodriguez Marin,Accesibilidad alta,Accesibilidad baja,38.3692748,-0.4836919
1364777876,,Accesibilidad alta,Accesibilidad baja,38.3694424,-0.4835618
1364777877,,Accesibilidad alta,Accesibilidad baja,38.3693508,-0.4836223
1365053688,,Accesibilidad alta,Accesibilidad baja,38.3695392,-0.481863
1365053689,,Accesibilidad alta,Accesibilidad baja,38.3695113,-0.4818235
1365368608,,Accesibilidad alta,Accesibilidad baja,38.3705777,-0.4809865
1365368610,,Accesibilidad alta,Accesibilidad baja,38.3704037,-0.4809179
1365368611,,Accesibilidad alta,Accesibilidad baja,38.3704769,-0.4809265
1365368612,,Accesibilidad alta,Accesibilidad baja,38.3705238,-0.4809456
1365368614,,Accesibilidad alta,Accesibilidad baja,38.3713034,-0.4787491
1368474556,,Accesibilidad alta,Accesibilidad baja,38.3715749,-0.4834323
1381183203,,Accesibilidad alta,Accesibilidad baja,38.3728611,-0.5024943
1381692142,,Accesibilidad alta,Accesibilidad baja,38.3735424,-0.5014901
1423054620,,Accesibilidad alta,Accesibilidad baja,38.3382873,-0.4872285
1433777350,,Accesibilidad alta,Accesibilidad baja,38.3706761,-0.4818518
1433777351,,Accesibilidad alta,Accesibilidad baja,38.3707487,-0.4818649
1443190753,Mercadona,Accesibilidad alta,Accesibilidad baja,38.3606606,-0.4901893
1446359363,,Accesibilidad alta,Accesibilidad baja,38.3693165,-0.4813295
1446359364,,Accesibilidad alta,Accesibilidad baja,38.3693243,-0.4810418
1446359368,,Accesibilidad alta,Accesibilidad baja,38.3692923,-0.4816596
1446359373,,Accesibilidad alta,Accesibilidad baja,38.3692624,-0.4816145
1447441477,,Accesibilidad alta,Accesibilidad baja,38.3694855,-0.4823236
