WKT,id,nombre,direccion,cod_ine_mun,anyo_const,tipo_edifi,tipo_edifi_val,uso_edifi,uso_edifi_val,proteccio,e1_entrada_ppal,e1_entrada_ppal_val,e1_coste,e2_itinerarios_accesibles,e2_itinerarios_accesibles_val,e2_coste,e3_zonas_atencion_publico,e3_zonas_atencion_publico_val,e3_coste,e4_servicios_higienicos,e4_servicios_higienicos_val,e4_coste,e5_elementos_accesibles,e5_elementos_accesibles_val,e5_coste,accesibilidat_total,accesibilidat_total_val,total_coste,nom_mun,nom_mun_cas,nom_mun_cas_a,nom_mun_val,nom_mun_val_a,noms_mun,comarca,provincia,lon,lat
POINT (740625.401025659 4311533.76839069),1,AYUNTAMIENTO HOGAR JUBILADOS,"PL. LA FONT, 1",46002,1975,Equipamiento,Equipament,"Administrativo, Institucional, Social","Administratiu, Institucional, Social",No,Accesibilidad baja,Accessibilitat baixa,1474.65,Accesibilidad baja,Accessibilitat baixa,1258.89,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,7261.97,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,10971.69,Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia,-0.2245150000000013,38.91974600000003
POINT (740539.559400995 4311633.69983461),2,CENTRO SALUD,"CALLE CERVANTES, 25-BAJO",46002,1993,Vivienda+equipamiento,Habitatge+equipament,"Sanitario, Otro","Sanitari, Un altre",No,Accesibilidad baja,Accessibilitat baixa,861.71,Accesibilidad baja,Accessibilitat baixa,1477.65,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad media,Accessibilitat mitjana,3523.94,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad baja,Accessibilitat baixa,9257.98,Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia,-0.2254689999999957,38.92066900000001
POINT (740550.757160602 4311553.82648528),3,GUARDERIA INFANTIL CENTRO MUJERES,"C. STMO. CRISTO, 6",46002,1930,Equipamiento,Equipament,"Educativo, Asistencial, Social, Otro","Educatiu, Assistencial, Social, Un altre",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,1576.03,Accesibilidad baja,Accessibilitat baixa,614.9,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,29047.88,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2418.5,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,34603.49,Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia,-0.2253679999999983,38.919946999999965
POINT (740648.474928907 4311858.99500504),4,C.P. LA MURTERA,"C. GRAGORI MAIANS, 2",46002,1986,Equipamiento,Equipament,Deportivo,Esportiu,No,Accesibilidad baja,Accessibilitat baixa,12466.02,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,22305.81,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad baja,Accessibilitat baixa,30809.85,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,2516.52,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,69074.38,Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia,-0.22413500000000358,38.922667000000054
POINT (740633.960574514 4311537.69539482),5,BIBLIOTECA,"C. JOANOT MARTORELL, 1",46002,1999,Equipamiento,Equipament,"Cultural, Recreativo","Cultural, Recreatiu",No,Accesibilidad baja,Accessibilitat baixa,5473.64,Accesibilidad baja,Accessibilitat baixa,1655.72,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,14523.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,22599.48,Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia,-0.2244149999999991,38.91977899999998
POINT (740694.598640364 4311418.99873324),6,CENTRO INFORMACIÓN,"C. GOYA, 2",46002,1968,Equipamiento,Equipament,"Educativo, Administrativo","Educatiu, Administratiu",No,Accesibilidad media,Accessibilitat mitjana,179.24,Accesibilidad baja,Accessibilitat baixa,4153.95,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,946.18,Accesibilidad baja,Accessibilitat baixa,9023.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,14303.31,Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia,-0.22375799999999704,38.918694000000016
POINT (740701.166203026 4311209.10827595),7,MUSEO,"P MAJOR, 1",46002,1887,Equipamiento,Equipament,"Educativo, Cultural, Otro","Educatiu, Cultural, Un altre",No,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,1350.66,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,23526.02,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,14523.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,40376.8,Ador,Ador,Ador,Ador,Ador,Ador,la Safor,València/Valencia,-0.2237559999999951,38.916803000000044
POINT (708861.273096955 4305847.43851648),8,AJUNTAMENT,"PLAÇA PALAU, 4",46042,1930,Equipamiento,Equipament,Institucional,Institucional,BIC,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,3520.73,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,51236.85,Accesibilidad baja,Accessibilitat baixa,946.18,Accesibilidad baja,Accessibilitat baixa,9023.94,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad muy baja. Barreras arquitectónicas,Accessibilitat molt baixa. Barreres arquitectòniques,64727.7,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia,-0.5923032165019924,38.8766835217617
POINT (709167.365629118 4305823.03285148),9,CONSULTORI MÉDIC,"C. CANTÓ DE L'HORT, 8",46042,1930,Equipamiento,Equipament,Sanitario,Sanitari,No,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad media,Accessibilitat mitjana,70.0,Accesibilidad baja,Accessibilitat baixa,18047.88,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,18117.88,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia,-0.5887849999999968,38.87639099999997
POINT (709149.634619897 4305971.61656763),10,ANTIC HOSPITAL BENEFICÉNCIA,"C. ESGLESIA, 25",46042,1930,Equipamiento,Equipament,Asistencial,Assistencial,No,Accesibilidad media,Accessibilitat mitjana,30.0,Accesibilidad baja,Accessibilitat baixa,4728.0,Accesibilidad baja,Accessibilitat baixa,976.18,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad alta,Accessibilitat alta,0.0,Accesibilidad baja,Accessibilitat baixa,5734.18,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,la Vall d'Albaida,València/Valencia,-0.5889439999999961,38.87773300000003
