WKT,id,nombre,direccion,cod_ine_mun,anyo_const,tipo_edifi,uso_edifi,e1_entrada_ppal,e2_itinerarios_accesibles,e3_zonas_atencion_publico,e4_servicios_higienicos,e5_elementos_accesibles,accesibilidat_total,nom_mun,comarca,provincia
POINT (715710.447205881 4295351.36889658),597,CENTRE SOCIAL                                         ,C/ BOCAIRENT                                           ,3003,1960,Equipamiento         ,"Cultural, Administrativo, Social         ",Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad alta                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Agres               ,el Comtat          ,Alacant/Alicante 
POINT (715717.702956933 4295347.66738476),599,CASA JOVE                                             ,"C/ SANT ANTONI, 9                                      ",3003,1960,Equipamiento         ,"Cultural, Social, Recreativo             ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad alta                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Agres               ,el Comtat          ,Alacant/Alicante 
POINT (693264.706016751 4217737.03702939),600,CASA CONSISTORIAL                                     ,"PLAZA ESPA?A, 20                                       ",3012,2007,Equipamiento         ,"Administrativo, Institucional, Otro      ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Algorfa             ,el Baix Segura/La V,Alacant/Alicante 
POINT (693350.680591951 4217690.22240644),601,CONSULTORIO M?DICO                                    ,"CALLE SAN JOS?, 6                                      ",3012,2005,Equipamiento         ,Sanitario                                ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Algorfa             ,el Baix Segura/La V,Alacant/Alicante 
POINT (693301.502300062 4217780.32634792),602,CENTRO SOCIAL                                         ,"CALLE MAYOR, 13                                        ",3012,2008,Equipamiento         ,"Cultural, Social, Recreativo             ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Algorfa             ,el Baix Segura/La V,Alacant/Alicante 
POINT (693140.583456129 4217708.77542922),603,ESCUELA INFANTIL MUNICIPAL                            ,"AVDA. SAN MIGUEL, 5                                    ",3012,2005,Equipamiento         ,Educativo                                ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Algorfa             ,el Baix Segura/La V,Alacant/Alicante 
POINT (674332.552315852 4245308.08287052),608,CENTRO SALUD Y ESTACION POTABILIZADORA                ,"CL MED. JUAN ALBERT CERDA, 5                           ",3013,1980,Equipamiento         ,Sanitario                                ,Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad alta                              ,Accesibilidad alta                              ,Accesibilidad baja                              ,Algue?a             ,el Vinalopo Mitja/E,Alacant/Alicante 
POINT (674097.971034719 4245420.03934235),610,EDIFICIO MUCA                                         ,"AV CONSTITUCION, 25                                    ",3013,1930,Equipamiento         ,"Educativo, Cultural                      ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad baja                              ,Algue?a             ,el Vinalopo Mitja/E,Alacant/Alicante 
POINT (693585.184633069 4220316.25768638),613,AYUNTAMIENTO                                          ,CL SAN EMIGDIO 2 PZ LA CONSTITUCION 1                  ,3015,1970,Equipamiento         ,"Administrativo, Institucional            ",Accesibilidad media                             ,Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad media                             ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad baja                              ,Almoradi            ,el Baix Segura/La V,Alacant/Alicante 
POINT (693314.550055293 4220245.42078813),616,CENTRO ATENCI?N TEMPRANA                              ,CL MIGUEL HERNANDEZ 28                                 ,3015,1998,Equipamiento         ,"Educativo, Sanitario                     ",Accesibilidad baja                              ,Accesibilidad baja                              ,Accesibilidad muy baja. Barreras arquitectonicas,Accesibilidad media                             ,Accesibilidad alta                              ,Accesibilidad baja                              ,Almoradi            ,el Baix Segura/La V,Alacant/Alicante 
